HG01286 chr2 121610000 121613000
22e6320c-7bf8-4bfa-86cd-d929779e6084 [42932, None, None, None]
637ac249-4b77-499c-b04a-6b172f4a13d8 [5036, None, None, None]
9cdeade6-b09f-4962-b215-12134f57c2a5 [5010, None, None, None]
41641c6a-e9cf-47e9-8a75-8b6243ad1cb0 [4143, None, None, None]
328298c8-e8eb-4c73-98fc-5e152fa6dab0 [3086, None, None, None]
6668ab19-184c-45e7-8970-7fca8f00482e [2842, None, None, None]
24e39db5-641c-4fff-89ff-1929cfbe6a88 [2519, None, None, None]
b25f90d4-124c-4911-94de-add41442ebf8 [2522, None, None, None]
1a6d0ee6-7e54-4028-82f0-1b9cef41116b [1958, None, None, None]
2f7eedb6-02f6-4db8-ac5d-98cf3ff4cbf3 [1725, None, None, None]
98a02a7d-b965-4fa9-88d0-c4254e0e4e21 [1453, None, None, None]
2eb94689-a9d6-429b-b9d5-2539112c120e [1179, None, None, None]
630bc151-8271-482e-9def-97ae9a0eaced [294, None, None, None]
7fa48042-e714-4c0d-a426-610ef01691d5 [123, None, None, None]
33057061-a8ff-4ed3-a705-aac8cd5a8b97 [49, None, None, None]
HG01896 chr2 121610000 121613000
4deab768-4250-4684-acad-57af19704d04 [77491, None, None, None]
e297016e-3a14-4f55-9ec2-a42f9752a669 [16245, None, None, None]
9f41a171-92f7-4e02-85c0-61710332a17c [13475, None, None, None]
199f48f5-b9a0-42b6-a84c-d311b5c7041c [12194, None, None, None]
85a0136a-2833-431b-b3d3-29ba7935ff1b [12189, None, None, None]
8392f10e-1924-45b8-b6ca-473d4fab5333 [11412, None, None, None]
17bd155f-550f-4d3c-86fe-c96cc6936b35 [9749, None, None, None]
33f27f88-366c-4539-b1c6-ed6e1e17f93d [9397, None, None, None]
592a3ba4-6466-46a1-84bc-2f61dc398f46 [8556, None, None, None]
84fc93f7-ff8e-4169-9ae7-4a52a7e87043 [6984, None, None, None]
ce9d621a-9a25-4b27-a345-749fe9c6f30a [8225, None, None, None]
6e9460a9-3a20-4444-b1d4-76acc6ce3aea [5344, None, None, None]
f64fecb6-bfa4-4d94-a971-2ff730bb6794 [4711, None, None, None]
976fe11c-20d6-490d-bcad-66f1ab136faf [4346, None, None, None]
8365107a-26ac-4e99-b021-df3a40d06789 [3085, None, None, None]
eb709f84-15f8-41a8-8732-cbf6b9d87616 [1080, None, None, None]
016168ba-3e49-4613-93c4-761ca5b97ee5 [985, None, None, None]
HG01896 chr2 238776000 238778000
2f298854-369d-4cda-a72e-e7440111e975 [83972, None, None, None]
c8e28826-c975-420b-aede-972d1c90e856 [34937, None, None, None]
5112457f-cd99-475e-a0f9-53d352349d16 [27220, None, None, None]
14852d06-ff3c-4b69-8e20-a4462c7d72d5 [22882, None, None, None]
56760aa9-3b72-45b5-8df2-0343e9d37f66 [17987, None, None, None]
c8d3cfe0-aed3-43ec-bdd7-d4769616638d [11117, None, None, None]
2ece54fe-2c2c-49b1-b469-070fc79489b2 [10881, None, None, None]
ea96043b-d141-4faf-b259-8512a28558c5 [7534, None, None, None]
45f336ea-3b15-43e5-891b-9dabc45bc226 [7374, None, None, None]
7b18b410-e68d-4150-97c3-63193a6e5e13 [5434, None, None, None]
1542e7a1-71e1-43af-aff8-2b09d191fb77 [5344, None, None, None]
59dafe5b-8a9b-4791-93c9-31aaf9779870 [4939, None, None, None]
103dcb3c-32d8-47e2-8628-657c83d7e60c [4191, None, None, None]
d7282869-e729-4ef4-8ef8-8eb96b2800de [4100, None, None, None]
5c46d3ab-5717-4ebc-b4aa-c0157a657056 [2174, None, None, None]
253a8393-18a5-4ecd-ba48-eeeca5f3de41 [2053, None, None, None]
d7e557b4-0328-4275-bb46-18d495c91b54 [1718, None, None, None]
e7ae2fd2-3f15-473e-8d79-72c5d7a9b175 [815, None, None, None]
HG01896 chr9 20972000 20976000
0b8c6456-0b93-4d68-865c-3b167a38e748 [56273, None, None, None]
20df5ebb-7b04-49f6-847a-a13d476ef771 [47583, None, None, None]
d92ffe34-852c-4fa9-b99d-dfdeb585308a [44441, None, None, None]
b20d6051-032e-49e9-a333-204e2771b2c0 [13678, None, None, None]
0528b30a-5c69-4251-b9d5-8ad7a1b975e6 [12225, None, None, None]
08a52a29-d1d3-42de-8968-aa662d365188 [10542, None, None, None]
8896919c-dd82-49be-b170-73fc01f7ce09 [18852, None, None, None]
220a9c46-604f-4c60-a3b6-ee56feed9785 [3299, None, None, None]
9890bf5d-cd42-49e6-8f92-c740f2d453b4 [12065, None, None, None]
722d6e1b-b657-4b22-8613-03bb5b6429b4 [9894, None, None, None]
29325b52-355b-433b-b458-3c965bee6dcd [2225, None, None, None]
943bf210-fc2a-4501-a7c9-acd87659d4ea [1408, None, None, None]
0063d35b-e7f2-40ef-9454-e91e2c863288 [947, None, None, None]
HG02284 chr2 121610000 121613000
518fb198-8ea4-4d2e-9fb9-270464f92713 [35584, None, None, None]
89a7a790-4c3b-4a10-905a-73d9292a7c93 [31234, None, None, None]
0fb64faa-3188-4043-b340-f1fcc249dd2d [20733, None, None, None]
54614b75-f279-4e4e-ab97-6c6da4cf88bd [20408, None, None, None]
405928ad-a7f1-460d-b26e-f64f88323994 [16024, None, None, None]
1dd229e2-bd9e-4770-ae8d-4aeab78238ee [15744, None, None, None]
03c8554e-fc98-4724-9153-aeb8202bf148 [10063, None, None, None]
7295a3c5-ada5-4455-943b-af09eb663e29 [6490, None, None, None]
37235118-d270-4bb7-bba7-b9adee511d90 [5842, None, None, None]
43824cb6-74f4-4e31-8473-09e9ff0f0f04 [7409, None, None, None]
4838f14d-2a71-463f-9f67-cb1bc89fe697 [4937, None, None, None]
c8560dcd-8bdf-48f0-a12c-2d6ed917e631 [4454, None, None, None]
bf4768d2-b6fd-49e9-be77-b2affb4d3e7a [4062, None, None, None]
59b65b97-a0b4-4bbb-8b77-662e44e8798d [3011, None, None, None]
f46e9f28-857a-4ad9-af58-0bb79c6c1aa2 [4435, None, None, None]
d6ef2d8d-3a41-4072-92a5-3c8135d8fff4 [2061, None, None, None]
ae2cae25-b466-4d19-9d87-19d20c1b2a83 [735, None, None, None]
94f54c65-ae8a-4200-a5a5-4b6955287f59 [664, None, None, None]
9ff56e8b-cae4-4b81-a618-d74267bdc73a [526, None, None, None]
9c41924b-b10e-4a50-a414-1633cf0a1b36 [472, None, None, None]
a52add16-772c-416e-a549-5a2d0242c79e [473, None, None, None]
80f6f3d4-54aa-41af-ad21-73bec97c5ded [340, None, None, None]
HG02284 chr2 238776000 238778000
01f20d9b-7a2c-42d4-b074-c617264a4237 [51801, None, None, None]
8d19401d-5915-47c8-9fda-1e638299c38f [37968, None, None, None]
670e5f0c-ab80-4613-b99e-ec42184720b8 [17961, None, None, None]
1626bc8d-1db0-4f97-8ac4-ee6dc4b95460 [14345, None, None, None]
d6fc3216-0c34-4108-95e9-0f4f51a56ab4 [13036, None, None, None]
d458f7e2-50bf-46c2-a170-2b8bb4730048 [13003, None, None, None]
718e0cba-bb68-4fc9-8fda-b8401a9a40de [12512, None, None, None]
5e34a84d-b00b-4223-90d1-94cef05ab19a [11410, None, None, None]
6aa75e22-d99a-4043-8e4f-005c97996ea3 [10075, None, None, None]
d99c3507-f5c3-43be-84d2-ef2ad246245e [8492, None, None, None]
ddfcb7d4-f421-4666-8b49-c368a28b7e0d [8563, None, None, None]
c9681184-8384-41ab-ab49-cef2206de49a [7330, None, None, None]
d17ca281-6626-46f1-add5-c038ad9e550f [6764, None, None, None]
b406b8d9-d0e6-4a65-b387-9caad6b0c8f5 [6015, None, None, None]
7e0a00b1-8c79-441d-8506-10345de01aa0 [5818, None, None, None]
62a1c21d-df6e-4023-8c29-6c766dd2490f [4086, None, None, None]
2071f5c2-31fb-4009-92f1-79f06336efd7 [2860, None, None, None]
658e72e4-45a9-4eab-bfa9-18a5d10ac8b4 [2837, None, None, None]
c46ac4ee-20ce-4492-ac57-632c87466672 [2098, None, None, None]
c077ec93-89f2-4e3b-aae4-63964526e41a [1886, None, None, None]
60798b32-6da3-4483-baec-20e77b53c5fe [1890, None, None, None]
8fe39b53-8099-4655-b6d6-23cee4ba4f01 [1284, None, None, None]
4af74420-9678-4d62-a085-c50a7bc23c55 [3423, None, None, None]
HG02284 chr9 20972000 20976000
6e644b14-7d78-4099-910c-e50daeb17668 [30279, None, None, None]
8d85d0a5-e52e-432d-8017-8081a15c7d3c [22517, None, None, None]
7cee6b3e-1068-481e-8a2e-716fa1f44be6 [20961, None, None, None]
a5733d55-9677-4b8b-b175-752f22420453 [17330, None, None, None]
e830035a-b06c-4a91-a861-b92b2c53450d [15904, None, None, None]
56d25604-9a4d-4d31-a016-b6e1d7750f73 [14687, None, None, None]
136128ea-a2ab-45bf-93ed-0e2eedfc1448 [9611, None, None, None]
8bfdd95c-dc63-4954-aea9-ba8f0c8fe965 [6131, None, None, None]
6782e2f6-231d-472d-b11f-6e71c420072f [5885, None, None, None]
23ef818e-d7ad-4835-bccb-a5c8f10cdfaf [3158, None, None, None]
0a9cfbc1-d8b6-4b96-a2dc-935ce3c77e66 [7124, None, None, None]
9b049b4c-a8d9-4b25-ab18-11346ec447e3 [1353, None, None, None]
01b95aba-1858-4867-b1f0-0e417a481b26 [1240, None, None, None]
04b12423-0beb-453a-ada9-2c715b7ff74c [1049, None, None, None]
b3c587d2-2131-4a55-a670-a40815d030e0 [661, None, None, None]
HG02635 chr2 121610000 121613000
c6eaa583-faa9-487f-89f2-8dc55b0effb3 [50879, None, None, None]
26c0a2ba-24bf-463a-a088-7130e6dab291 [49359, None, None, None]
bf6fee03-2588-439e-9f95-ddc447080e84 [47064, None, None, None]
d5fae619-04eb-4c1f-a916-737b320b3de6 [45297, None, None, None]
2e27eeb8-21fb-4a30-8353-7bad17bc86a3 [40437, None, None, None]
73f863e7-cd55-4222-9be3-046a88d35e6d [19913, None, None, None]
e5eba304-f33e-41f2-ab71-38ddccbfbbc8 [7985, None, None, None]
e58c9916-a66c-41f7-ba6d-35711c275bb3 [8097, None, None, None]
152c0119-27ff-4767-84d1-87a947c2ae62 [5060, None, None, None]
e230f4dd-edc5-4bd3-9022-b6c9e56e8b2f [2988, None, None, None]
6e659d25-5c6b-42a3-8797-cec4a0e06d9b [46620, None, None, None]
HG02635 chr2 238776000 238778000
00ae0471-e686-45c6-951d-96f4e2005266 [42408, None, None, None]
71e4bbdd-de9a-4db7-b10e-4d131c47690a [33594, None, None, None]
bd551d0c-fd50-48f9-ae21-fdd997e259a8 [23882, None, None, None]
dddf470c-366a-451f-9672-422987d69852 [22692, None, None, None]
de2dbce0-385d-4d29-a495-2eea93ffb58c [19867, None, None, None]
d9f24965-180a-4945-ace0-9f43b5c115fa [18334, None, None, None]
3c6ed07f-0b51-4b41-bac4-adc04ee6bb9b [11728, None, None, None]
e972cb95-293e-4311-825a-f6d4f9262c51 [9805, None, None, None]
5512bde6-4bbc-4539-ba0a-3122f70ac7c2 [5234, None, None, None]
a3f11dff-0541-40fc-a742-57a658d1601d [5225, None, None, None]
007d8ce2-ec40-4596-80c9-34f90e781fcb [4803, None, None, None]
c02598da-456f-4c69-b3ba-bf2ed856d93a [3277, None, None, None]
a890635f-87c2-4188-bba8-d9fabdf547c8 [2183, None, None, None]
a1c585b8-0381-4727-a76a-81c943848819 [1509, None, None, None]
9cac693c-050d-4a77-849d-78339d589e02 [635, None, None, None]
HG02635 chr9 20972000 20976000
35d8c7f1-f604-405c-b1c5-1d24b8e4cd09 [25690, None, None, None]
67ccadc6-41e3-48db-92e8-67fdf9ec1d6c [24568, None, None, None]
25e08974-5572-40d9-bb0f-a130b4319b3b [24203, None, None, None]
50d4182a-0e66-464f-b229-7ccb8fa1586c [22316, None, None, None]
f0d8c239-f0ee-458f-836f-19ecb974f98d [13743, None, None, None]
832e1130-8acb-4c53-981d-064001ed2c50 [11223, None, None, None]
7316773e-5864-46f3-b196-1741ac4d12d6 [10310, None, None, None]
f67e5bc8-c301-4b97-b81d-da9538a7ea6e [8776, None, None, None]
c07a7cd7-fbdc-45ac-a815-d5b33396ae8a [7621, None, None, None]
fb449643-4444-4b3a-8727-c989435a9f21 [7394, None, None, None]
a68fea8f-f7ab-4e35-99bd-f9d737896746 [5724, None, None, None]
f4a72bd9-2089-45ce-9f7f-c92c07bb8939 [1082, None, None, None]
b5b6f42e-ad8e-4f64-accc-7996d4149922 [67, None, None, None]
HG03473 chr2 121610000 121613000
e23ca85b-2ab5-4ace-b6b6-a8df9cfcfa63 [45145, None, None, None]
f686077e-69ca-4b33-bdaa-29f2603acfab [37895, None, None, None]
d8c52a8e-dd05-4e0e-a8a4-18d0db660222 [26455, None, None, None]
93b0980f-5ab2-46e3-8060-d35c4630e579 [18986, None, None, None]
7db4393c-b136-4f12-9238-40f5c0d67f61 [14144, None, None, None]
2c9b4381-a841-4064-94a7-4f22a4a9b5f0 [6063, None, None, None]
HG03473 chr2 238776000 238778000
4c95ea60-0f20-40f5-a714-abadf9a8c4aa [38413, None, None, None]
60c9ebc2-530b-438b-b577-3e46f95107de [37725, None, None, None]
873c1391-11db-4536-906f-659e7aa0b2c1 [18960, None, None, None]
7e15735a-82bc-43b3-bf36-ba6406a75863 [18644, None, None, None]
4e478857-5377-4aa4-a977-62bef11e2358 [18565, None, None, None]
241b8475-2a9c-4454-8610-7f50b35d7218 [15951, None, None, None]
b25bee42-ced1-4aaa-b57b-8e216530d2e1 [8914, None, None, None]
51906447-96b8-4306-838e-b23873f05db0 [8670, None, None, None]
7afc9e64-8c56-4b7d-a7c3-e674e80e18e6 [7524, None, None, None]
c9d00fdc-7c15-47f0-812a-de0ca7ceac87 [4042, None, None, None]
3897b94d-0539-483d-aa72-cd22da23e0e2 [918, None, None, None]
HG03473 chr9 20972000 20976000
e21f6ceb-5ab3-4d59-be62-9ae0ba6e45ee [23753, None, None, None]
c20f6f60-7dfe-4c78-b185-e633d2ab557f [14113, None, None, None]
eba54493-85a6-4c1c-a87e-fb351ffedf04 [11839, None, None, None]
d5e63326-84c3-41d0-9544-1d5dfef7c10e [6541, None, None, None]
6b8c394a-a9b4-4969-bb6e-3d84b7496291 [3781, None, None, None]
a381f9ca-7959-40a8-8cc4-188e9ea4f9a4 [1540, None, None, None]
4b0a8186-4590-4b57-90ed-9690bb903c59 [1584, None, None, None]
6e5b463c-1e1d-40db-9780-bce40ce98b56 [716, None, None, None]
5542f8ee-244f-4233-9b40-236a926394de [687, None, None, None]
HG03521 chr2 121610000 121613000
86a97719-7e4e-4e79-8f65-f755dcd0f4e8 [45335, None, None, None]
8a9cbf37-c60c-443e-83b9-8ad2b590e1e9 [39544, None, None, None]
38dae7a8-3a7d-416b-90e8-b6546ebd9e76 [38981, None, None, None]
d1b99c43-9f0d-49ce-9367-2b8c8cf3ef3f [34871, None, None, None]
388171e3-6861-47d7-9be2-a8595484d64d [41394, None, None, None]
a6220444-95d0-44fb-9cfe-aa45e382b826 [13907, None, None, None]
42ee3825-e046-422c-86a8-8d28e9eed060 [12658, None, None, None]
82d91368-59f9-47fd-891d-66587b975cf5 [12429, None, None, None]
c9e45d9e-7ca7-4011-a683-ed5fc3571482 [12313, None, None, None]
66063813-190a-4a18-8102-f22338bd175f [12147, None, None, None]
a418c4b7-8c4e-4f26-b40b-3bfe89e3e907 [12435, None, None, None]
a86e2eee-3c81-4758-9e4c-c42c321743de [12003, None, None, None]
9eb1984a-1512-4c12-b721-a883c8d03ac0 [8876, None, None, None]
e4b43bc1-9fb8-44d7-be03-3a4668761512 [8666, None, None, None]
4c10a280-a258-4969-a66d-4ac8f2bda2f1 [7953, None, None, None]
17bcc15d-ed77-4889-bbfb-28b98803fba2 [9901, None, None, None]
a19b2c16-f5bf-4704-8e94-162189243f05 [5791, None, None, None]
5d007a14-47bf-49c7-b2a9-1bd348a9714d [2565, None, None, None]
20dab27c-f661-41bf-8fff-03da95db99dd [2422, None, None, None]
22a53a1e-bb2b-4557-83eb-fad427494627 [2765, None, None, None]
3d9eeb19-eac4-4c44-ab08-408177bb519c [2759, None, None, None]
eeaf6573-722f-4bc7-a86f-70c321cb62f3 [1293, None, None, None]
3e471f97-61cc-452b-90aa-e661d7e6fde0 [545, None, None, None]
HG03521 chr2 238776000 238778000
dabe540b-99be-4aa7-b645-26aa2dc3fa95 [28342, None, None, None]
bda368fc-b241-4699-bc84-35cf571665e6 [18636, None, None, None]
77c5202d-d114-4413-a94f-4416022923e5 [17309, None, None, None]
c0088cc0-0308-4983-9895-f6f985bae957 [15998, None, None, None]
8c3a29b5-44c4-40f6-9636-e7c70cb14ee2 [15098, None, None, None]
f8b596f2-8e54-482c-ac21-544528eab49f [7101, None, None, None]
31a2ce24-d9d8-4a67-96ab-2ea256661ce9 [5099, None, None, None]
6f108bad-d9bf-4a8f-aa0f-5cdf1c1d9cce [5093, None, None, None]
308f4c15-1ee2-40a2-9739-e61151ddf0ce [4804, None, None, None]
f4d09b3c-f2cd-45db-a689-a3b4b0632cc7 [4759, None, None, None]
026eb127-3dcf-4a3a-a4d2-2c7294fcf037 [3363, None, None, None]
c84eff30-857d-4f4a-9e2b-77271d7e80a3 [3293, None, None, None]
4036f201-1701-4d88-af46-63bc5f808189 [3222, None, None, None]
9a5cf36d-51ed-4017-8984-7cf4b6c6f8b8 [3387, None, None, None]
39f62da5-4194-42bc-a6f8-322e55f0671b [2953, None, None, None]
44927452-05a1-49f3-a292-3391c6b9d533 [2749, None, None, None]
688496e5-c5d8-4183-be0a-d8715f492924 [4340, None, None, None]
dcac5d3b-61ed-47ab-904c-46c22fd194f4 [482, None, None, None]
539bad0e-02ee-4202-bb03-84083ea952d9 [423, None, None, None]
HG03521 chr9 20972000 20976000
baf1c430-6df8-41ca-95db-975fe621c547 [36571, None, None, None]
dea9d738-73b3-4e56-85e3-a86b85eec430 [32494, None, None, None]
01fa14d9-d4bf-452b-bbb9-10446161094f [25581, None, None, None]
88c6c5dc-0689-45ba-9a22-f908c9deb39a [39852, None, None, None]
4c0cde42-b5c4-42bd-8f57-8fbbed544725 [14539, None, None, None]
3d6cba71-88cf-46f1-9b8e-9275e25554ae [14465, None, None, None]
ceae3a9b-56bd-47c7-88c6-4b0e298addc4 [11741, None, None, None]
abe0d2fc-d2fe-46af-889e-5c6fe8755988 [11219, None, None, None]
08b9cdad-60a7-4b60-9649-ff51c5097162 [8712, None, None, None]
7b9e3939-2b02-4a6e-b186-c584175c6132 [8208, None, None, None]
7f204e44-3842-4f6d-9bde-ceaf0d682a7f [4629, None, None, None]
55691779-011f-4540-9fa0-51ee05c2af7e [4492, None, None, None]
7f925d60-7cba-4446-bd3a-9adc0a98e715 [3963, None, None, None]
f8de27a6-564f-43bb-a717-88d83731b476 [3294, None, None, None]
88d6202a-bf92-4770-b1d1-6f99de6bf267 [2862, None, None, None]
3cf8c799-9b50-43ba-83a6-7d345063e75c [2826, None, None, None]
cba8429d-eda9-4b4c-83d2-cbcef69d0972 [2616, None, None, None]
42456f0d-a0fc-469a-b4d0-a348735faa8b [2241, None, None, None]
1719da59-ac8b-410f-ab5d-bd2ed844fdcc [620, None, None, None]
41371ec2-4da2-4570-8062-a4ec569621ff [1213, None, None, None]
HG03644 chr2 121610000 121613000
9fc7e32e-c562-410f-b89f-73a9a80a18f7 [65782, None, None, None]
36e1bc96-8bdb-41cc-aa5f-1836736e4521 [37260, None, None, None]
a9c6805d-4f3d-4330-958e-596d33b86adb [33263, None, None, None]
3ca3811a-680d-4589-9dca-c20a831126b7 [15768, None, None, None]
94cacf3b-9c38-4ff9-8559-755b55739143 [16986, None, None, None]
6c4c6778-5d7a-4e92-8cb6-d95479eb527f [10003, None, None, None]
5dd7ff44-511d-4f84-956b-74ef95074797 [8445, None, None, None]
626869b0-4910-4722-887f-f57c7d0dcaac [8159, None, None, None]
340cc415-35bc-4c46-a074-75ef6879b2fb [7305, None, None, None]
66166fc0-a30c-4ef4-b8ff-6019ca4f545d [5210, None, None, None]
71eefe49-909b-464f-81ca-5330bf93f4c5 [3746, None, None, None]
841127e7-f03e-48c6-b8f5-124b68033617 [2921, None, None, None]
236c4054-2450-4b89-a0dc-8b1ad82cd615 [2640, None, None, None]
27fe3242-9c82-4039-96ab-ba3c0850533b [2657, None, None, None]
09b22be2-8a21-4c37-a61e-9d1264e83bab [22722, None, None, None]
c157c886-c1fb-4250-b0ad-aa872af05405 [1357, None, None, None]
e2846e63-f5ff-4b3e-a806-d6b9c2998d06 [973, None, None, None]
1ea3d1ab-093c-437b-86e7-21ecdecc8022 [917, None, None, None]
056b7e06-d89e-4551-8bb5-40534b587f2d [188, None, None, None]
b97aed81-3da4-4c3b-a341-102d3da2895d [75, None, None, None]
HG03644 chr2 238776000 238778000
04364ef2-75b3-4e87-9ee8-8e13f11374b4 [48765, None, None, None]
475083a8-142f-4a22-9603-b3cbfc6dfc07 [33003, None, None, None]
7714ca86-eeef-402b-8c08-7741229baab4 [32751, None, None, None]
1a0b302c-e249-48a7-8f37-79dd6ff17789 [11873, None, None, None]
8c7107bb-7a5d-4840-b9d1-331363c3a06d [8638, None, None, None]
fa2182d6-bf8d-482c-9ecb-86a73ac571a4 [10703, None, None, None]
b1e15897-8402-4cc1-bfa5-929772b3be29 [4055, None, None, None]
db36d19d-da46-4ecd-92ea-6c5148d5698e [3584, None, None, None]
17e9d5e2-b7cd-4e86-8027-bd8320c0f5ab [3072, None, None, None]
d0f1ab9a-adc6-472b-ad6e-573fd8674d65 [301, None, None, None]
HG03644 chr9 20972000 20976000
a789851e-0665-4e7c-bcfc-2fe8eaf26ccf [31389, None, None, None]
43971eaa-c10f-4d3b-937f-c9bb926054f6 [16714, None, None, None]
51933ba8-1e08-49b3-84ea-c6e9c60a649d [8659, None, None, None]
3cab52ba-eb79-4558-ae6a-d09bebcdb52c [3038, None, None, None]
HG03821 chr2 121610000 121613000
e9b57b21-d07d-4051-8c1f-5be7b75d6427 [26323, None, None, None]
446b9a9a-694e-456d-b239-2b9bdefafe44 [42238, None, None, None]
f9b74126-1e80-44d1-837a-3cf6ade5096a [19209, None, None, None]
f57c8d12-bc3b-4b82-9519-4edb98b26f5b [17983, None, None, None]
15af2019-cb90-45f1-b364-4cf7da796b17 [15813, None, None, None]
42666e7e-94cf-4f1d-b47d-2ad42092666f [9337, None, None, None]
03da2d91-76b9-4550-b80b-f4a75a4c9c9d [9254, None, None, None]
5f7b5a97-667f-45a8-b7a0-14b66d12f422 [9175, None, None, None]
31d3cedc-7eac-44f9-aaa9-768fd9006978 [6100, None, None, None]
5379de35-23af-4fb9-a269-f166d1f450d7 [4908, None, None, None]
b9d35d92-2607-4f98-8898-7ed3777670f5 [4694, None, None, None]
55c24967-f49c-417f-9ec8-dc573548ca2f [4432, None, None, None]
825c449d-6419-4c7b-bdea-758e306ae604 [11369, None, None, None]
839f48e1-5e12-4224-b8dd-2ab707da75c9 [4026, None, None, None]
0385fc5e-b0f1-4ee6-b5d5-9bdd3e677d39 [4054, None, None, None]
85fdaf6d-c121-456e-9cb1-83ccc6d8f0dd [3687, None, None, None]
9d475248-970f-408e-ba0b-7604a6b519ef [2857, None, None, None]
502197a2-e375-4267-8597-b48f7c233a19 [2554, None, None, None]
71a75e88-4595-45db-aba2-ed99fb5d31e8 [2648, None, None, None]
57a22fbc-db0c-44bd-9da5-4cdbdd120079 [2618, None, None, None]
921822a1-a972-4bba-83d3-3a201c15f421 [2253, None, None, None]
2e64dda0-9443-40bc-8d41-b8a078d7275d [1608, None, None, None]
3c71e11e-dbdb-4a42-ba64-02ce2e493aa1 [1122, None, None, None]
c1facc89-ca02-4f22-8465-02f331cf1578 [968, None, None, None]
6b4774d1-9090-45dc-a05b-ad441e182bd8 [666, None, None, None]
ba26a430-b8db-4a19-acd0-a122d2777f8f [661, None, None, None]
3b4faa7f-8746-441c-b086-2027bd0a482c [450, None, None, None]
HG03821 chr2 238776000 238778000
e0b0c454-dad0-44aa-84ce-d09177a65ca4 [28082, None, None, None]
